DISTRICT,VEHICLETHEFT,PROSTITUTION
BAYVIEW,2121,11
CENTRAL,1193,70
INGLESIDE,2319,5
MISSION,2063,713
NORTHERN,1879,581
PARK,1207,2
RICHMOND,1081,15
SOUTHERN,1426,18
TARAVAL,1665,10
TENDERLOIN,371,527
